"","Gene","Module"
"322","MST1L","brown"
"323","LOC105376805","turquoise"
"324","CROCC","brown"
"325","MFAP2","grey"
"326","LOC105376806","grey"
"327","ATP13A2","brown"
"328","SDHB","grey"
"329","PADI2","black"
"330","PADI1","turquoise"
"331","PADI3","blue"
"332","PADI4","turquoise"
"333","PADI6","turquoise"
"334","RCC2","yellow"
"335","ARHGEF10L","blue"
"336","ACTL8","turquoise"
"337","IGSF21","blue"
"338","KLHDC7A","black"
"339","PAX7","turquoise"
"340","TAS1R2","turquoise"
"341","ALDH4A1","yellow"
"342","IFFO2","midnightblue"
"343","UBR4","turquoise"
"344","EMC1-AS1","blue"
"345","EMC1","grey"
"346","MRTO4","red"
"347","AKR7L","brown"
"348","AKR7A3","brown"
"349","LOC100506730","blue"
"350","AKR7A2","grey"
"351","SLC66A1","brown"
"352","CAPZB","blue"
"353","MICOS10","grey"
"354","MICOS10-NBL1","blue"
"355","RPS14P3","blue"
"356","NBL1","blue"
"357","HTR6","pink"
"358","TMCO4","blue"
"359","RNF186","blue"
"360","OTUD3","grey"
"361","PLA2G2E","turquoise"
"362","PLA2G2A","red"
"363","PLA2G5","turquoise"
"364","PLA2G2D","magenta"
"365","PLA2G2F","turquoise"
"366","PLA2G2C","turquoise"
"367","UBXN10","greenyellow"
"368","VWA5B1","turquoise"
"369","CAMK2N1","black"
"370","MUL1","blue"
"371","FAM43B","turquoise"
"372","CDA","grey"
"373","PINK1","blue"
"374","MIR6084","yellow"
"375","PINK1-AS","blue"
"376","DDOST","green"
"377","KIF17","turquoise"
"378","SH2D5","pink"
"379","112268222","grey"
"380","HP1BP3","green"
"381","EIF4G3","turquoise"
"382","LOC105376830","blue"
"383","LOC105376829","blue"
"384","ECE1","blue"
"385","ECE1-AS1","blue"
"386","NBPF3","blue"
"387","ALPL","red"
"388","RAP1GAP","yellow"
"389","USP48","blue"
"390","LDLRAD2","purple"
"391","HSPG2","purple"
"392","CELA3B","turquoise"
"393","CELA3A","turquoise"
"394","LINC00339","cyan"
"395","CDC42-AS1","blue"
"396","CDC42","green"
"397","WNT4","brown"
"398","LOC105376845","turquoise"
"399","ZBTB40","grey"
"400","EPHA8","turquoise"
"401","C1QA","green"
"402","C1QC","green"
"403","C1QB","green"
"404","EPHB2","blue"
"405","LACTBL1","turquoise"
"406","TEX46","turquoise"
"407","KDM1A","blue"
"408","LUZP1","grey"
"409","HTR1D","turquoise"
"410","LINC01355","blue"
"411","HNRNPR","turquoise"
"412","ZNF436","yellow"
