"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDZD2",1550.37303497323,-2.20976021532472,0.173543592551153,-12.7331708583443,3.86805248197093e-37,1.13716322338537e-35
"LOC105374711",18.5942675240391,-1.28188064457202,0.211074060356414,-6.07313206751921,1.25439207006395e-09,3.93272170753505e-09
"NPR3",475.620420206065,-1.0896308361204,0.291706425602484,-3.73536796068134,0.000187440909704253,0.000344114327807036
"RANBP3L",311.484181111442,-1.49323161704222,0.263190796136919,-5.67357080475335,1.39851258245352e-08,3.9782525346715e-08
"EGFLAM",572.990459545912,-2.00266022120788,0.196057703778192,-10.2146469259559,1.70498724301717e-24,1.97741622359665e-23
"LIFR",960.465294149651,-3.56121151341909,0.201475098268918,-17.6756906635964,6.45451026364537e-70,1.1859701573001e-67
"LIFR-AS1",16.3026348038084,-1.41527713986091,0.244681617674788,-5.78415801444467,7.28764163431722e-09,2.12668512083013e-08
"OSMR",1106.30720534039,-1.11763798051517,0.165677523327249,-6.74586363961751,1.52119435571066e-11,5.74529490622539e-11
"DAB2",1000.47193084305,-1.29601967033613,0.156134773183552,-8.30064721593137,1.03545742240532e-16,6.21757860269713e-16
"PTGER4",276.833598284644,-2.01345520716122,0.161302176356408,-12.4825049025523,9.30136832951398e-36,2.4641441700146e-34
"CARD6",368.897095539967,-1.45909967624849,0.157435326053401,-9.26793060252295,1.89792319666197e-20,1.57796303525961e-19
"C7",515.969351791769,-2.58635714018015,0.328813815226149,-7.8657192016136,3.66982888334013e-15,1.92266147036745e-14
"LOC105374739",15.3897429074989,-2.35573380152169,0.32834726034343,-7.17451943731081,7.25616131266417e-13,3.09907842614931e-12
"C6",649.519237633994,-1.82420958716502,0.31590274711668,-5.77459235101632,7.71396120111929e-09,2.24599816567733e-08
"PLCXD3",138.4674927996,-2.93643122927893,0.29153959984493,-10.0721522250865,7.33550215172343e-24,8.13004986432286e-23
"OXCT1-AS1",22.2589195313449,-1.44065337636824,0.219972158761666,-6.5492532531317,5.78254975584533e-11,2.06368354494125e-10
"GHR",531.692994809866,-3.76584599676543,0.215706939364332,-17.4581587771957,2.98404405151912e-68,5.05010191982091e-66
"CCDC152",601.368581112999,-2.77688569625603,0.230518408851564,-12.0462643746779,2.02940589867239e-33,4.61577695291323e-32
